participant_id	age	sex	edu	nlang	ahrq_score	manipulationfactor	orthographicfactor	verbalfactor	visualfactor	ideal_l2_self	instrumentality	intl_contact	l2_interest	l2_anxiety	l2_confidence	milieu	usage_willingness	ind_mus_train_imt	ind_mus_listening_iml	mus_instr_play_imip	cognitive_and_emotional_regulation	social_connection	engaged_production	dance	physical_exercise	swt_score_cs	swt_score_us	hand_index	bsmss
sub-pp001	21.3	f	15	3	0.271739130434781	3.75	2.66666666666667	3	4.1	80	93.3333333333333	90	90	53.3333333333333	70	100	80	2	4	0	32	11	13	10	14	8	6	60	63
sub-pp003	25	f	18	8	0.184782608695651	3.875	3.83333333333333	4.58333333333333	3.8	88	90	100	100	40	90	90	92.5	4	10	1.875	37	12	29	2	13	7	4	100	56
sub-pp004	19.5	f	14	4	0.097826086956521	2.875	2.33333333333333	3.08333333333333	3.9	80	86.6666666666667	90	85	53.3333333333333	80	80	72.5	2	15	0	29	10	22	9	12	15	9	-15	55
sub-pp005	31	m	25	8	0.195652173913044	3.625	3	4.41666666666667	4.5	80	90	75	80	66.6666666666667	65	90	100	3	20	0.375	34	17	19	6	13	14	7	55	66
sub-pp006	37.6	f	21	3	0.217391304347826	3.875	1	2.91666666666667	3.4	40	70	50	60	46.6666666666667	70	100	40	4	25	0.25	33	8	9	2	13	3	3	55	61
sub-pp007	24.2	f	17	4	0.326086956521739	3.625	3.33333333333333	3.41666666666667	3.7	96	86.6666666666667	100	95	33.3333333333333	75	90	75	4	8	0.0625	29	12	30	6	11	7	3	70	47
sub-pp008	20.2	f	15	4	0.152173913043477	4.125	3	4.33333333333333	4.7	88	96.6666666666667	95	95	46.6666666666667	75	100	52.5	0	10	0	41	17	9	5	17	9	5	60	61
sub-pp009	19.5	f	13	4	0.282608695652173	3.75	2.16666666666667	3.41666666666667	2.3	80	90	85	80	60	70	95	85	1	15	0	39	7	12	5	18	5	5	25	48
sub-pp010	29.2	m	16	3	0.271739130434782	4.25	1.66666666666667	2.83333333333333	3.8	48	56.6666666666667	55	65	40	75	85	65	1	10	1.5	24	6	25	2	4	4	3	80	50
sub-pp011	23.4	m	16	8	0.271739130434782	3.375	4.5	4.25	3.7	84	76.6666666666667	90	95	53.3333333333333	50	65	92.5	6	15	1.25	31	6	14	4	10	13	10	-40	37.5
