participant_id	purdue_dh_avg	purdue_ndh_avg	purdue_both_avg	purdue_dh_ndh_both_avg	purdue_assembly_avg	ran_tot_acc	ran_tot_rt	reading_text_acc	reading_text_rt	cvlt_tot_imm	cvlt_tot_recall	spelling_regular_acc	spelling_irregular_acc	spelling_pseudo_acc	spelling_tot_acc	spoon_acc	spoon_rt_manual	regular_acc	irregular_acc	pseudo_acc	regular_rt	irregular_rt	pseudo_rt	non_word_rep_span	non_word_rep_acc	phon_suppr_acc	phon_suppr_rt_manual	wordreading	apm_corr	apm_incorr	apm_rt	alerting	orienting	reorienting	inhibition	rtt_sub_corr	rtt_sub_incorr	rtt_sub_rt	finger_tapping_dominant	finger_tapping_nondominant	digit_for_span	digit_back_span	rtt_sum_corr	rtt_sum_incorr	rtt_sum_rt	corsi_back_span	brocanto_corr1	brocanto_incorr1	brocanto_rt1	brocanto_corr2	brocanto_incorr2	brocanto_rt2	brocanto_corr3	brocanto_incorr3	brocanto_rt3	mlat5_corr	mlat5_incorr	mlat5_rt	cvlt_long_corr	cvlt_long_incorr	cvlt_long_rt	artgram_corr	artgram_incorr	artgram_rt	corsi_for_span	amma_tonal	amma_rhythm	amma_total	hindi_score_weighted	brocanto	arith	fingertap	span_visual	span_verbal
sub-pp001	11.66666667	13.66666667	12.0	37.33333333	33.33333333	296.0	26.88	594.0	94.28	74.0	84.0	10	5	5	20	2	297.0	55	52	53	7.3825	9.526666667	11.4675	3.0	37.0	13	123.74	53.333333333333336	12.0	8.0	61263.61999999992	27.95017088174984	50.62074096116652	55.03035483035484	74.27242100964725	24.0	0.0	2468.3749999999905	57.2	50.8	7	4	40.0	0.0	2031.535000000027	8.0	26.0	13.0	2783.5179487179057	23.0	17.0	2972.6075000000187	26.0	14.0	2967.660000000056	14.0	10.0	7926.558333333426	38.0	6.0	1879.522727272728	10.0	2.0	27856.28333333329	7.0	18	18	36	297.0	75.0	64.0	54.0	15.0	11
sub-pp003	18.0	16.66666667	15.0	49.66666667	57.33333333	298.0	19.575	596.0	71.7	84.0	96.0	10	7	10	27	48	180.54	56	52	56	5.0275	6.273333333	7.62	3.0	53.0	19	90.97	54.66666666666666	12.0	8.0	60584.33499999046	4.674883720927937	24.82382629108406	20.067361111099444	49.83998435053985	31.0	0.0	1909.9000000030765	74.2	63.8	9	8	39.0	3.0	1862.4309523843583	8.0	32.0	7.0	2350.6051281965697	33.0	7.0	2169.135000014305	39.0	1.0	2083.077500009537	23.0	1.0	1766.8083333571751	42.0	2.0	1765.968181818258	11.0	1.0	42831.841666678585	6.0	26	26	52	473.0	104.0	70.0	69.0	14.0	17
sub-pp004	11.0	11.33333333	9.666666667	32.0	21.33333333	300.0	25.106666666666666	592.0	91.16	50.0	57.0	8	4	6	18	32	423.88	56	51	50	7.4275	9.55	12.52	3.0	40.0	11	92.84	52.333333333333336	4.0	19.0	2067.978260869565	41.9011042944785	54.84952100221079	47.92074253430189	29.936677115987493	19.0	1.0	2981.0290499999537	58.6	59.2	7	5	28.0	1.0	3021.7965517241573	5.0	18.0	22.0	814.4324999999953	22.0	18.0	597.3875	21.0	19.0	576.1750000000466	11.0	13.0	3537.716666666752	34.0	10.0	1271.3863636363635	1.0	11.0	1538.966666666558	7.0	12	10	22	324.0	61.0	47.0	58.900000000000006	12.0	12
sub-pp005	15.0	14.33333333	13.0	42.33333333	42.66666667	296.0	26.565	592.0	130.45	74.0	86.0	8	4	8	20	45	223.69	56	52	48	6.615	8.016666667	10.845	3.0	45.0	19	132.64	52.0	15.0	6.0	58417.90476190476	22.04833457275862	33.36290089215521	23.610628168856124	72.28231850273437	20.0	1.0	2781.4761904761904	64.8	57.8	6	6	32.0	1.0	2832.0	7.0	25.0	14.0	2378.794871794872	28.0	12.0	2198.9	23.0	17.0	1619.625	15.0	9.0	6773.208333333333	44.0	0.0	1494.1272727305238	10.0	2.0	41138.66666666666	4.0	17	16	33	294.0	76.0	52.0	61.3	11.0	12
sub-pp006	17.0	15.66666667	12.0	44.66666667	38.66666667	295.0	24.455	592.0	97.93	78.0	92.0	8	5	6	19	41	252.0	55	51	55	5.045	6.286666667	11.415	5.0	46.0	19	119.52	53.66666666666666	16.0	3.0	66423.49473684213	20.118496965732103	31.58943879096148	1.1275362303291558	78.36468531243452	27.0	1.0	2122.069392857132	68.6	64.2	6	5	39.0	1.0	1970.8575000000008	6.0	22.0	16.0	3569.7236842105017	26.0	14.0	2970.922500000056	27.0	13.0	3114.8374999999533	21.0	3.0	4158.979166666744	44.0	0.0	1936.0136363601143	7.0	4.0	73113.79090909092	7.0	23	25	48	306.0	75.0	66.0	66.4	13.0	11
sub-pp007	15.33333333	16.0	13.66666667	45.0	50.66666667	292.0	27.488333333333333	596.0	102.09	84.0	98.0	10	6	6	22	44	179.62	55	52	56	6.975	10.10666667	10.565	3.0	48.0	20	88.34	54.333333333333336	12.0	11.0	50221.57826086749	24.878827125317343	41.86243571762503	11.679450874168936	18.27529001622889	23.0	7.0	1987.029899966621	68.6	63.6	7	5	38.0	2.0	1953.421250016689	8.0	23.0	17.0	1983.809999996424	26.0	14.0	2218.1074999809266	29.0	11.0	2189.1425000071526	23.0	1.0	2790.0791666706405	44.0	0.0	1587.5227272727273	10.0	2.0	57062.81666670243	8.0	23	17	40	468.0	78.0	61.0	66.1	16.0	12
sub-pp008	15.66666667	15.33333333	13.0	44.0	44.0	288.0	24.383333333333336	594.0	96.34	87.0	102.0	9	8	7	24	43	165.77	56	52	56	7.0625	9.1	11.08	4.0	39.0	19	83.52	54.66666666666666	13.0	9.0	56692.27727278797	17.260125628140713	60.562232920430574	25.825587591024828	51.486133673706206	26.0	1.0	2118.54444443738	70.8	56.4	7	7	37.0	2.0	2022.4025640976736	6.0	20.0	19.0	1975.571794876685	24.0	16.0	1151.0875	20.0	20.0	1447.750000011921	14.0	10.0	4880.1541666686535	43.0	1.0	1429.090909090909	8.0	3.0	39306.118181792175	8.0	9	11	20	291.0	64.0	63.0	63.6	14.0	14
sub-pp009	15.33333333	15.66666667	12.33333333	43.33333333	44.0	295.0	27.495	592.0	122.75	86.0	99.0	6	5	9	20	15	341.12	56	59	49	5.975	7.063333333	9.6	3.0	41.0	13	97.19	54.66666666666666	6.0	17.0	25400.565217391264	16.435406698564634	32.57756539235413	11.99243697478994	74.11068781964298	17.0	2.0	3143.261052631579	57.2	49.8	7	4	32.0	0.0	2868.428125000006	7.0	22.0	17.0	2736.6076923075298	26.0	14.0	1887.570000000042	19.0	21.0	1810.032499999996	16.0	8.0	3658.774999999907	41.0	3.0	1786.2954545454545	7.0	5.0	26737.95	7.0	9	9	18	345.0	67.0	49.0	53.5	14.0	11
sub-pp010	13.33333333	13.33333333	11.0	37.66666667	40.0	299.0	19.755	596.0	75.49	88.0	102.0	8	6	3	17	3	296.76	55	51	53	4.5275	5.006666667	6.1125	3.0	47.0	17	105.74	53.0	8.0	8.0	80176.4375	5.610357450473714	20.70138888888892	10.095862470862471	51.120532245532274	26.0	0.0	2200.076923076923	73.2	59.6	7	7	38.0	1.0	2100.2328205128206	8.0	19.0	21.0	2579.075	22.0	18.0	2783.3	24.0	15.0	2728.5641025641025	20.0	4.0	3342.375	42.0	2.0	1448.2954545454545	10.0	2.0	66365.75	8.0	25	23	48	327.0	65.0	64.0	66.4	16.0	14
sub-pp011	13.33333333	13.66666667	10.33333333	37.33333333	34.66666667	295.0	35.365	592.0	87.91	72.0	85.0	10	8	8	26	7	250.25	56	51	53	7.765	9.24	9.6075	4.0	35.0	20	97.06	53.333333333333336	12.0	11.0	24087.439130434726	9.41904761904766	52.810398489718864	44.62730496453901	122.38691956882252	26.0	0.0	2238.01153846146	75.2	64.2	6	5	38.0	2.0	2035.03499999994	6.0	28.0	12.0	1646.1725000000326	29.0	11.0	1509.5300000000511	31.0	9.0	1912.462499999977	17.0	7.0	5532.658333333316	44.0	0.0	1509.5454545454545	9.0	3.0	35071.50000000001	8.0	26	23	49	591.0	88.0	64.0	69.7	14.0	11
