leapq	ISO_639-3	Glottolog
albanais	sqi	Albanian
allemand	deu	 German
amglais	eng	English
amharic	amh	Amharic
anglais	eng	English
anglais (basique)	eng	English
anseze	nap	Castelmezzano
arabe	arb	Standard Arabic
arabe algerien	arq	Algerian Arabic
arabe algérien	arq	Algerian Arabic
arabe égyptien	arz	Egyptian Arabic
arabe libanais	apc	Levantine Arabic
arabe marocain	ary	Moroccan Arabic
arabe marocain (darija)	ary	Moroccan Arabic
arabe standard	arb	Standard Arabic
arabe standard moderne	arb	Standard Arabic
arabe standard moderne ou kabyle	arb	Standard Arabic
arabe tunisien	aeb	Tunisian Arabic
bosniaque	bos	Bosnian Standard
breton	bre	Breton
bulgare	bul	Bulgarian
castillan	spa	Spanish
catalan	cat	Catalan
chinois	zho	
chinois mandarin	cmn	Mandarin Chinese
cht'i	pcd	Picard
coréen	kor	Korean
créole de la réunion	rcf	Réunian Creole French
créole des antilles	acf	Saint Lucian Creole French
créole guyanais	gcr	Guianese Creole French
croate	hbs	Serbian-Croatian-Bosnian
dialecte de la vénétie)	vec	Venetian
ebreu	heb	Modern Hebrew
espagnol	spa	Spanish
espagnol (castillan)	spa	Spanish
ewondo	ewo	Ewondo
francais	fra	French
français	fra	French
français belge	fra	French
français courant moderne	fra	French
francais suisse	fra	French
français suisse	fra	French
grec	ell	Modern Greek
grec ancien	grc	Ionic-Attic Ancient Greek
hébreu	heb	Modern Hebrew
italien	ita	Italian
japonais	jpn	Japanese
kabyle	kab	Kabyle
kirundi	run	Rundi
kituba	ktu	Kituba (Congo)
latin	lat	Latin
lingala	lin	Kinghasa Lingala
lombard oriental	lmo	Lombard
malgache	plt	Plateau Malagasy
mandarin	cmn	Mandarin Chinese
marocain	ary	Moroccan Arabic
mayennais	fra	French
neerlandais	nld	Dutch
néerlandais	nld	Dutch
néérlandais	nld	Dutch
norvegien	nor	Norwegian
norvégien	nor	Norwegian
oromo	gaz	West Central Oromo
patois vaudois	frp	Arpitan
persan	pes	Western Farsi
polonais	pol	Polish
portugais	por	Portuguese
portugais du bresil	por	Portuguese
russe	rus	Russian
savoyard	frp	Arpitan
sicilien	scn	Sicilian
somali	som	Somali
sranan tango	srn	Sranan Tongo
suisse allemand	gsw	Central Alemannic
tamoul	tam	Tamil
turc	tur	Turkish
ucrainien	ukr	Ukrainian
ukrainien	ukr	Ukrainian
wollof	wol	Wolof
wolof	wol	Wolof
