participant_id	nlang	1langname_order	2langname_order	3langname_order	4langname_order	5langname_order	6langname_order	7langname_order	8langname_order	9langname_order	10langname_order	11langname_order	12langname_order	13langname_order
sub-pp128	1	francais												
sub-pp107	2	espagnol	francais											
sub-pp050	2	arabe_tunisien	francais											
sub-pp171	3	francais	allemand	anglais										
sub-pp147	3	francais	espagnol	anglais										
sub-pp145	3	francais	allemand	anglais										
sub-pp035	3	francais	anglais	espagnol										
sub-pp054	3	francais	allemand	anglais										
sub-pp074	3	francais	anglais	allemand										
sub-pp073	3	francais	anglais	espagnol										
sub-pp038	3	francais	allemand	anglais										
sub-pp078	3	francais	anglais	espagnol										
sub-pp072	3	francais	allemand	anglais										
sub-pp006	3	francais	allemand	anglais										
sub-pp085	3	francais	kirundi	anglais										
sub-pp095	3	francais	espagnol	anglais										
sub-pp018	3	francais	anglais	allemand										
sub-pp013	3	francais	allemand	anglais										
sub-pp001	3	francais	anglais	espagnol										
sub-pp010	3	francais	allemand	anglais										
sub-pp120	3	francais	allemand	anglais										
sub-pp118	3	francais	anglais	allemand										
sub-pp163	3	francais	anglais	espagnol										
sub-pp160	3	francais	anglais	espagnol										
sub-pp158	3	francais	anglais	allemand										
sub-pp168	3	francais	anglais	espagnol										
sub-pp170	4	francais	anglais	espagnol_(castillan)	latin									
sub-pp114	4	francais	anglais	italien	espagnol									
sub-pp117	4	francais_suisse	allemand	anglais	latin									
sub-pp024	4	francais	italien	anglais	allemand									
sub-pp020	4	francais	anglais	espagnol	portugais									
sub-pp008	4	francais	anglais	allemand	italien									
sub-pp135	4	francais	anglais	allemand	grec									
sub-pp009	4	francais	arabe_libanais	anglais	allemand									
sub-pp045	4	francais	italien	sicilien	anglais_(basique)									
sub-pp022	4	francais	anglais	espagnol	japonais									
sub-pp021	4	francais	allemand	anglais	latin									
sub-pp004	4	francais	anglais	espagnol	italien									
sub-pp069	4	francais	anglais	espagnol	italien									
sub-pp126	4	francais	anglais	allemand	espagnol									
sub-pp137	4	francais	arabe_marocain_(darija)	anglais	allemand									
sub-pp067	4	francais	anglais	allemand	espagnol									
sub-pp166	4	francais	anglais	allemand	italien									
sub-pp111	4	francais	ewondo	anglais	allemand									
sub-pp099	4	francais	arabe	anglais	espagnol									
sub-pp151	4	francais	polonais	anglais	allemand									
sub-pp152	4	francais	anglais	italien	espagnol									
sub-pp156	4	francais	wolof	allemand	anglais									
sub-pp149	4	francais	anglais	allemand	italien									
sub-pp159	4	francais	cht'i	anglais_uk	allemand									
sub-pp116	4	malgache	francais	allemand	anglais									
sub-pp115	4	francais	anglais	kituba	lingala									
sub-pp108	4	francais	anglais	italien	russe									
sub-pp007	4	francais	allemand	anglais	italien									
sub-pp105	4	francais	portugais	anglais	latin									
sub-pp124	4	francais	espagnol	anglais	allemand									
sub-pp030	5	francais	italien	sicilien	allemand	anglais								
sub-pp164	5	francais	anglais	allemand	italien	russe								
sub-pp155	5	arabe_tunisien	francais	anglais	espagnol	allemand								
sub-pp150	5	francais	anglais	allemand	espagnol	italien								
sub-pp162	5	francais	anglais	espagnol	latin	bosniaque								
sub-pp106	5	francais	anglais	hebreu	espagnol	grec								
sub-pp076	5	francais	anglais	allemand	italien	coreen								
sub-pp048	5	francais	arabe_standard_moderne	kabyle	anglais	allemand								
sub-pp042	5	francais	marocain	espagnol	anglais	allemand								
sub-pp052	5	grec	anglais	francais	espagnol	allemand								
sub-pp068	5	francais	italien	anglais	latin	espagnol								
sub-pp092	5	francais	arabe_algerien	arabe_standard_moderne	anglais	espagnol								
sub-pp093	5	francais	allemand	anglais	espagnol	italien								
sub-pp032	5	portugais	espagnol	francais	anglais	italien								
sub-pp125	5	francais	anzese	anglais	espagnol	italien								
sub-pp023	5	francais	espagnol	latin	allemand	anglais								
sub-pp025	5	francais	espagnol	allemand	anglais	italien								
sub-pp033	5	francais	albanais	allemand	anglais	latin								
sub-pp112	5	francais_courant_moderne	francais_suisse	anglais	allemand	savoyard								
sub-pp019	5	espagnol	portugais	francais	allemand	anglais								
sub-pp110	6	francais	anglais	allemand	italien	chinois_mandarin	espagnol							
sub-pp027	6	francais	espagnol	allemand	anglais	portugais	italien							
sub-pp077	6	francais	breton	mayennais	anglais	espagnol	allemand							
sub-pp127	6	francais	anglais	arabe_algerien	wolof	espagnol	allemand							
sub-pp044	6	francais	allemand	anglais	latin	suisse_allemand	norvegien							
sub-pp091	6	tamoul	francais	anglais	arabe	allemand	savoyard							
sub-pp161	6	francais	allemand	anglais	espagnol	latin	italien							
sub-pp039	6	francais	anglais	espagnol	portugais	wollof	russe							
sub-pp031	6	italien	francais	anglais	espagnol	latin	chinois_mandarin							
sub-pp036	6	francais	arabe_tunisien	anglais	espagnol	italien	allemand							
sub-pp043	6	francais	anglais	lombard_oriental	italien	allemand	portugais							
sub-pp129	7	japonais	francais	allemand	patois_vaudois	anglais	latin	coreen						
sub-pp046	7	francais	anglais	allemand	arabe_standard_moderne_ou_kabyle	russe	ukrainien	italien						
sub-pp083	7	portugais	anglais	espagnol	catalan	italien	francais	allemand						
sub-pp088	7	francais	anglais	allemand	japonais	suisses_allemand	espagnol	catalan						
sub-pp012	7	francais	italien	dialecte_de_la_venetie)	allemand	anglais	latin	turc						
sub-pp053	8	francais	arabe_standard	arabe_marocain	arabe_egyptien	allemand	anglais	italien	espagnol					
sub-pp133	8	somali	francais	allemand	anglais	latin	espagnol	italien	portugais					
sub-pp169	8	francais	anglais	persan	allemand	latin	espagnol	italien	chinois_mandarin					
sub-pp011	8	francais	anglais	allemand	japonais	espagnol	norvegien	italien	chinois_mandarin					
sub-pp003	8	francais	allemand	italien	anglais	latin	grec_ancien	espagnol	portugais					
sub-pp094	8	francais	amharic	anglais	allemand	arabe_standard_moderne	portugais	espagnol	oromo					
sub-pp005	8	francais	amglais	creole_guyanais	portugais_du_bresil	sranan_tango	creole_des_antilles	espagnol	creole_de_la_reunion					
sub-pp026	10	russe	francais	anglais	espagnol	ucrainien	allemand	polonais	neerlandais	bulgare	croate			
sub-pp119	13	francais_suisse	francais	japonais	allemand	suisse_allemand	portugais	espagnol	italien	latin	anglais	albanais	francais_belge	neerlandais
