amma_corr	participant_id	amma_response
0.0	sub-pp001	I
1.0	sub-pp001	I
1.0	sub-pp001	R
0.0	sub-pp001	M
0.0	sub-pp001	I
1.0	sub-pp001	I
0.0	sub-pp001	R
0.0	sub-pp001	M
1.0	sub-pp001	I
1.0	sub-pp001	R
1.0	sub-pp001	M
1.0	sub-pp001	M
1.0	sub-pp001	I
1.0	sub-pp001	M
0.0	sub-pp001	I
1.0	sub-pp001	M
1.0	sub-pp001	R
0.0	sub-pp001	M
0.0	sub-pp001	I
1.0	sub-pp001	I
0.0	sub-pp001	I
1.0	sub-pp001	I
0.0	sub-pp001	R
1.0	sub-pp001	I
0.0	sub-pp001	R
0.0	sub-pp001	I
0.0	sub-pp001	M
1.0	sub-pp001	R
1.0	sub-pp001	I
0.0	sub-pp001	M
