participant_id	apm_corr	apm_incorr	apm_RT
sub-pp001	1.0	0.0	33313.799999999814
sub-pp001	1.0	0.0	11108.799999999814
sub-pp001	1.0	0.0	24085.89999999944
sub-pp001	0.0	1.0	36734.700000000186
sub-pp001	1.0	0.0	54270.200000000186
sub-pp001	1.0	0.0	32634.099999999627
sub-pp001	0.0	1.0	39200.0
sub-pp001	1.0	0.0	56871.39999999944
sub-pp001	1.0	0.0	29881.800000000745
sub-pp001	0.0	1.0	92541.19999999924
sub-pp001	0.0	1.0	74854.79999999981
sub-pp001	1.0	0.0	40739.40000000037
sub-pp001	0.0	1.0	100126.0
sub-pp001	0.0	1.0	39745.700000000186
sub-pp001	0.0	1.0	83298.09999999963
sub-pp001	0.0	1.0	73302.29999999981
sub-pp001	1.0	0.0	85198.29999999981
sub-pp001	1.0	0.0	142888.59999999963
sub-pp001	1.0	0.0	132489.7000000002
sub-pp001	1.0	0.0	41987.60000000056
