participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp001	1.0	0.0	1683.199999999255	97
sub-pp001	1.0	0.0	1471.4000000003723	63
sub-pp001	1.0	0.0	1741.0	582
sub-pp001	1.0	0.0	1677.9000000003723	694
sub-pp001	1.0	0.0	2154.2000000011176	7285
sub-pp001	1.0	0.0	3151.7999999988824	6439
sub-pp001	1.0	0.0	3292.0999999996275	42731
sub-pp001	1.0	0.0	4326.200000001118	75836
sub-pp001	0.0	1.0	4107.0	92487
sub-pp001	1.0	0.0	5733.0	619473
sub-pp001	1.0	0.0	7463.89999999851	4179386
sub-pp001	0.0	1.0	8559.699999999255	6941728
sub-pp001	0.0	1.0	5942.0	48291764
sub-pp001	0.0	1.0	4181.5	581347
