participant_id	finger-tapping_taps	finger-tapping_corr	finger-tapping_RT	trial_type
sub-pp001	1.0	0.0	289.0	dominant1
sub-pp001	2.0	0.0	465.0	dominant1
sub-pp001	3.0	0.0	619.0	dominant1
sub-pp001	4.0	0.0	774.0	dominant1
sub-pp001	5.0	0.0	933.0	dominant1
sub-pp001	6.0	0.0	1091.0	dominant1
sub-pp001	7.0	0.0	1241.0	dominant1
sub-pp001	8.0	0.0	1404.0	dominant1
sub-pp001	9.0	0.0	1562.0	dominant1
sub-pp001	10.0	0.0	1732.0	dominant1
sub-pp001	11.0	0.0	1894.0	dominant1
sub-pp001	12.0	0.0	2055.0	dominant1
sub-pp001	13.0	0.0	2223.0	dominant1
sub-pp001	14.0	0.0	2389.0	dominant1
sub-pp001	15.0	0.0	2568.0	dominant1
sub-pp001	16.0	0.0	2737.0	dominant1
sub-pp001	17.0	0.0	2910.0	dominant1
sub-pp001	18.0	0.0	3082.0	dominant1
sub-pp001	19.0	0.0	3253.0	dominant1
sub-pp001	20.0	0.0	3426.0	dominant1
sub-pp001	21.0	0.0	3606.0	dominant1
sub-pp001	22.0	0.0	3778.0	dominant1
sub-pp001	23.0	0.0	3957.0	dominant1
sub-pp001	24.0	0.0	4144.0	dominant1
sub-pp001	25.0	0.0	4324.0	dominant1
sub-pp001	26.0	0.0	4495.0	dominant1
sub-pp001	27.0	0.0	4679.0	dominant1
sub-pp001	28.0	0.0	4858.0	dominant1
sub-pp001	29.0	0.0	5016.0	dominant1
sub-pp001	30.0	0.0	5186.0	dominant1
sub-pp001	31.0	0.0	5352.0	dominant1
sub-pp001	32.0	0.0	5534.0	dominant1
sub-pp001	33.0	0.0	5698.0	dominant1
sub-pp001	34.0	0.0	5866.0	dominant1
sub-pp001	35.0	0.0	6033.0	dominant1
sub-pp001	36.0	0.0	6206.0	dominant1
sub-pp001	37.0	0.0	6380.0	dominant1
sub-pp001	38.0	0.0	6545.0	dominant1
sub-pp001	39.0	0.0	6729.0	dominant1
sub-pp001	40.0	0.0	6893.0	dominant1
sub-pp001	41.0	0.0	7076.0	dominant1
sub-pp001	42.0	0.0	7261.0	dominant1
sub-pp001	43.0	0.0	7439.0	dominant1
sub-pp001	44.0	0.0	7622.0	dominant1
sub-pp001	45.0	0.0	7813.0	dominant1
sub-pp001	46.0	0.0	8001.0	dominant1
sub-pp001	47.0	0.0	8179.0	dominant1
sub-pp001	48.0	0.0	8370.0	dominant1
sub-pp001	49.0	0.0	8558.0	dominant1
sub-pp001	50.0	0.0	8736.0	dominant1
sub-pp001	51.0	0.0	8919.0	dominant1
sub-pp001	52.0	0.0	9099.0	dominant1
sub-pp001	53.0	0.0	9276.0	dominant1
sub-pp001	54.0	0.0	9455.0	dominant1
sub-pp001	55.0	0.0	9653.0	dominant1
sub-pp001	56.0	0.0	9838.0	dominant1
sub-pp001	1.0	0.0	338.0	dominant2
sub-pp001	2.0	0.0	487.0	dominant2
sub-pp001	3.0	0.0	637.0	dominant2
sub-pp001	4.0	0.0	793.0	dominant2
sub-pp001	5.0	0.0	968.0	dominant2
sub-pp001	6.0	0.0	1125.0	dominant2
sub-pp001	7.0	0.0	1289.0	dominant2
sub-pp001	8.0	0.0	1455.0	dominant2
sub-pp001	9.0	0.0	1619.0	dominant2
sub-pp001	10.0	0.0	1779.0	dominant2
sub-pp001	11.0	0.0	1944.0	dominant2
sub-pp001	12.0	0.0	2110.0	dominant2
sub-pp001	13.0	0.0	2283.0	dominant2
sub-pp001	14.0	0.0	2467.0	dominant2
sub-pp001	15.0	0.0	2636.0	dominant2
sub-pp001	16.0	0.0	2808.0	dominant2
sub-pp001	17.0	0.0	2978.0	dominant2
sub-pp001	18.0	0.0	3142.0	dominant2
sub-pp001	19.0	0.0	3322.0	dominant2
sub-pp001	20.0	0.0	3504.0	dominant2
sub-pp001	21.0	0.0	3670.0	dominant2
sub-pp001	22.0	0.0	3845.0	dominant2
sub-pp001	23.0	0.0	4014.0	dominant2
sub-pp001	24.0	0.0	4178.0	dominant2
sub-pp001	25.0	0.0	4353.0	dominant2
sub-pp001	26.0	0.0	4523.0	dominant2
sub-pp001	27.0	0.0	4695.0	dominant2
sub-pp001	28.0	0.0	4867.0	dominant2
sub-pp001	29.0	0.0	5056.0	dominant2
sub-pp001	30.0	0.0	5225.0	dominant2
sub-pp001	31.0	0.0	5395.0	dominant2
sub-pp001	32.0	0.0	5568.0	dominant2
sub-pp001	33.0	0.0	5750.0	dominant2
sub-pp001	34.0	0.0	5908.0	dominant2
sub-pp001	35.0	0.0	6093.0	dominant2
sub-pp001	36.0	0.0	6277.0	dominant2
sub-pp001	37.0	0.0	6454.0	dominant2
sub-pp001	38.0	0.0	6643.0	dominant2
