participant_id	mlat5_corr	mlat5_incorr	mlat5_RT
sub-pp001	1.0	0.0	6597.300000000745
sub-pp001	0.0	1.0	13403.400000000373
sub-pp001	1.0	0.0	8437.900000000373
sub-pp001	1.0	0.0	7154.10000000149
sub-pp001	0.0	1.0	6891.89999999851
sub-pp001	0.0	1.0	16774.800000000745
sub-pp001	1.0	0.0	2611.39999999851
sub-pp001	0.0	1.0	12389.799999998882
sub-pp001	1.0	0.0	4077.199999999255
sub-pp001	0.0	1.0	9727.200000001118
sub-pp001	1.0	0.0	3229.699999999255
sub-pp001	1.0	0.0	7331.199999999255
sub-pp001	1.0	0.0	5883.89999999851
sub-pp001	0.0	1.0	8847.700000001118
sub-pp001	0.0	1.0	7127.099999999628
sub-pp001	1.0	0.0	5341.300000000745
sub-pp001	0.0	1.0	5597.4000000003725
sub-pp001	1.0	0.0	7833.0
sub-pp001	1.0	0.0	4050.800000000745
sub-pp001	0.0	1.0	7663.0
sub-pp001	1.0	0.0	7071.4000000003725
sub-pp001	0.0	1.0	13663.200000001118
sub-pp001	1.0	0.0	13889.200000001118
sub-pp001	1.0	0.0	4643.5
