participant_id	digit-back_corr	digit-back_incorr	digit-back_RT	digit-back_response
sub-pp003	1.0	0.0	2077.0	13
sub-pp003	1.0	0.0	1752.8000001907349	42
sub-pp003	1.0	0.0	2162.7999999523163	64
sub-pp003	1.0	0.0	2043.200000047684	75
sub-pp003	1.0	0.0	2258.100000143051	926
sub-pp003	1.0	0.0	3164.0	574
sub-pp003	1.0	0.0	6757.0	9728
sub-pp003	1.0	0.0	5471.200000047684	8694
sub-pp003	1.0	0.0	9527.400000095367	34856
sub-pp003	1.0	0.0	9183.200000047684	68451
sub-pp003	0.0	1.0	12642.0	814745
sub-pp003	1.0	0.0	16557.599999904633	658427
sub-pp003	1.0	0.0	15784.0	2639418
sub-pp003	1.0	0.0	12787.900000095367	8269374
sub-pp003	1.0	0.0	13553.0	81267349
sub-pp003	1.0	0.0	14954.100000143051	34651827
