participant_id	finger-tapping_taps	finger-tapping_corr	finger-tapping_RT	trial_type
sub-pp003	1.0	0.0	351.30000000074506	dominant1
sub-pp003	2.0	0.0	479.5	dominant1
sub-pp003	3.0	0.0	584.9000000003725	dominant1
sub-pp003	4.0	0.0	692.3000000007451	dominant1
sub-pp003	5.0	0.0	805.7000000001863	dominant1
sub-pp003	6.0	0.0	927.8000000007452	dominant1
sub-pp003	7.0	0.0	1053.7000000001865	dominant1
sub-pp003	8.0	0.0	1184.6000000005588	dominant1
sub-pp003	9.0	0.0	1303.6000000005588	dominant1
sub-pp003	10.0	0.0	1422.300000000745	dominant1
sub-pp003	11.0	0.0	1534.2000000001865	dominant1
sub-pp003	12.0	0.0	1594.4000000003723	dominant1
sub-pp003	13.0	0.0	1706.1000000005588	dominant1
sub-pp003	14.0	0.0	1820.300000000745	dominant1
sub-pp003	15.0	0.0	1938.2000000001865	dominant1
sub-pp003	16.0	0.0	2044.9000000003723	dominant1
sub-pp003	17.0	0.0	2132.300000000745	dominant1
sub-pp003	18.0	0.0	2250.300000000745	dominant1
sub-pp003	19.0	0.0	2366.800000000745	dominant1
sub-pp003	20.0	0.0	2486.2000000001863	dominant1
sub-pp003	21.0	0.0	2606.100000000559	dominant1
sub-pp003	22.0	0.0	2734.300000000745	dominant1
sub-pp003	23.0	0.0	2874.800000000745	dominant1
sub-pp003	24.0	0.0	3004.100000000559	dominant1
sub-pp003	25.0	0.0	3130.7000000001863	dominant1
sub-pp003	26.0	0.0	3262.9000000003725	dominant1
sub-pp003	27.0	0.0	3390.7000000001863	dominant1
sub-pp003	28.0	0.0	3518.100000000559	dominant1
sub-pp003	29.0	0.0	3637.200000000186	dominant1
sub-pp003	30.0	0.0	3751.600000000559	dominant1
sub-pp003	31.0	0.0	3931.5	dominant1
sub-pp003	32.0	0.0	4056.900000000373	dominant1
sub-pp003	33.0	0.0	4188.700000000186	dominant1
sub-pp003	34.0	0.0	4318.300000000745	dominant1
sub-pp003	35.0	0.0	4451.700000000186	dominant1
sub-pp003	36.0	0.0	4572.700000000186	dominant1
sub-pp003	37.0	0.0	4702.0	dominant1
sub-pp003	38.0	0.0	4821.100000000559	dominant1
sub-pp003	39.0	0.0	4969.800000000745	dominant1
sub-pp003	40.0	0.0	5112.4000000003725	dominant1
sub-pp003	41.0	0.0	5249.300000000745	dominant1
sub-pp003	42.0	0.0	5374.200000000186	dominant1
sub-pp003	43.0	0.0	5514.100000000559	dominant1
sub-pp003	44.0	0.0	5644.200000000186	dominant1
sub-pp003	45.0	0.0	5784.100000000559	dominant1
sub-pp003	46.0	0.0	5908.700000000186	dominant1
sub-pp003	47.0	0.0	6052.100000000559	dominant1
sub-pp003	48.0	0.0	6177.9000000003725	dominant1
sub-pp003	49.0	0.0	6319.300000000745	dominant1
sub-pp003	50.0	0.0	6443.700000000186	dominant1
sub-pp003	51.0	0.0	6575.200000000186	dominant1
sub-pp003	52.0	0.0	6741.800000000745	dominant1
sub-pp003	53.0	0.0	6866.300000000745	dominant1
sub-pp003	54.0	0.0	7004.300000000745	dominant1
