participant_id	brocanto_corr	brocanto_incorr	brocanto_RT	brocanto_block
sub-pp006	0.0	1.0	4300.700000000186	1.0
sub-pp006	1.0	0.0	3908.700000000186	1.0
sub-pp006	1.0	0.0	3323.7999999998137	1.0
sub-pp006	0.0	1.0	2895.5	1.0
sub-pp006	1.0	0.0	2404.5	1.0
sub-pp006	1.0	0.0	3812.200000000186	1.0
sub-pp006	1.0	0.0	2775.9000000003725	1.0
sub-pp006	0.0	1.0	2665.4000000003725	1.0
sub-pp006	0.0	1.0	4509.600000000559	1.0
sub-pp006	0.0	1.0	2134.899999999441	1.0
sub-pp006	0.0	1.0	3347.0	1.0
sub-pp006	0.0	1.0	4727.5	1.0
sub-pp006	0.0	1.0	5128.5	1.0
sub-pp006	1.0	0.0	4517.299999999814	1.0
sub-pp006	1.0	0.0	4341.700000000186	1.0
sub-pp006	1.0	0.0	4787.299999999814	1.0
sub-pp006	1.0	0.0	4133.800000000745	1.0
sub-pp006	0.0	1.0	4791.399999999441	1.0
sub-pp006	1.0	0.0	3140.2000000001863	1.0
sub-pp006	1.0	0.0	3744.7999999998137	1.0
sub-pp006	1.0	0.0	3178.399999999441	1.0
sub-pp006	1.0	0.0	2341.7000000001863	1.0
sub-pp006	1.0	0.0	2578.5	1.0
sub-pp006	0.0	1.0	3606.200000000186	1.0
sub-pp006	1.0	0.0	5896.9000000003725	1.0
sub-pp006	0.0	1.0	3468.899999999441	1.0
sub-pp006	1.0	0.0	4071.7999999998137	1.0
sub-pp006	1.0	0.0	2069.2999999998137	1.0
sub-pp006	0.0	1.0	3773.699999999255	1.0
sub-pp006	1.0	0.0	4806.9000000003725	1.0
sub-pp006	0.0	1.0	1391.4000000003723	1.0
sub-pp006	0.0	1.0	4262.699999999255	1.0
sub-pp006	1.0	0.0	2883.7999999998137	1.0
sub-pp006	1.0	0.0	4572.699999999255	1.0
sub-pp006	1.0	0.0	1933.4000000003723	1.0
sub-pp006	0.0	1.0	2833.4000000003725	1.0
sub-pp006	0.0	1.0	2220.2000000001863	1.0
sub-pp006	1.0	0.0	4368.899999999441	1.0
sub-pp006	1.0	0.0	2478.7000000001863	2.0
sub-pp006	0.0	1.0	4193.9000000003725	2.0
sub-pp006	1.0	0.0	3175.9000000003725	2.0
sub-pp006	1.0	0.0	2658.9000000003725	2.0
sub-pp006	0.0	1.0	2560.7000000001863	2.0
sub-pp006	0.0	1.0	3102.199999999255	2.0
sub-pp006	1.0	0.0	3708.5	2.0
sub-pp006	1.0	0.0	2219.600000000559	2.0
sub-pp006	0.0	1.0	3092.7999999998137	2.0
sub-pp006	0.0	1.0	4969.0	2.0
sub-pp006	0.0	1.0	3049.5	2.0
sub-pp006	1.0	0.0	2380.7000000001863	2.0
sub-pp006	1.0	0.0	2038.0	2.0
sub-pp006	1.0	0.0	4872.600000000559	2.0
sub-pp006	1.0	0.0	2252.800000000745	2.0
sub-pp006	1.0	0.0	2585.7000000001863	2.0
sub-pp006	1.0	0.0	3505.9000000003725	2.0
sub-pp006	1.0	0.0	2270.399999999441	2.0
sub-pp006	1.0	0.0	3549.5999999996275	2.0
sub-pp006	0.0	1.0	1872.2000000001865	2.0
sub-pp006	0.0	1.0	3490.7000000001863	2.0
sub-pp006	0.0	1.0	2427.2999999998137	2.0
sub-pp006	1.0	0.0	2309.5999999996275	2.0
sub-pp006	1.0	0.0	3141.0	2.0
sub-pp006	1.0	0.0	2803.0	2.0
sub-pp006	1.0	0.0	4436.5	2.0
sub-pp006	0.0	1.0	3022.0	2.0
sub-pp006	1.0	0.0	3096.2000000001863	2.0
sub-pp006	1.0	0.0	2758.0	2.0
sub-pp006	1.0	0.0	2391.4000000003725	2.0
sub-pp006	1.0	0.0	3851.599999999628	2.0
sub-pp006	1.0	0.0	2331.2999999998137	2.0
sub-pp006	0.0	1.0	3791.100000000559	2.0
sub-pp006	1.0	0.0	2553.2999999998137	2.0
sub-pp006	0.0	1.0	1997.9000000003723	2.0
sub-pp006	0.0	1.0	3564.5	2.0
sub-pp006	1.0	0.0	3416.899999999441	2.0
sub-pp006	1.0	0.0	1346.5999999996277	2.0
sub-pp006	1.0	0.0	2568.100000000559	2.0
sub-pp006	0.0	1.0	3002.2999999998137	2.0
sub-pp006	0.0	1.0	2302.0999999996275	3.0
sub-pp006	1.0	0.0	2648.5	3.0
sub-pp006	0.0	1.0	3133.7999999998137	3.0
sub-pp006	1.0	0.0	3860.100000000559	3.0
sub-pp006	1.0	0.0	2240.4000000003725	3.0
sub-pp006	0.0	1.0	3030.800000000745	3.0
sub-pp006	0.0	1.0	4077.399999999441	3.0
sub-pp006	1.0	0.0	3420.2999999998137	3.0
sub-pp006	1.0	0.0	4060.099999999628	3.0
sub-pp006	1.0	0.0	2386.4000000003725	3.0
sub-pp006	1.0	0.0	3959.0	3.0
sub-pp006	0.0	1.0	3675.699999999255	3.0
sub-pp006	1.0	0.0	4075.0	3.0
sub-pp006	0.0	1.0	3377.800000000745	3.0
sub-pp006	1.0	0.0	3697.400000000373	3.0
sub-pp006	1.0	0.0	4881.9000000003725	3.0
sub-pp006	1.0	0.0	4445.099999999628	3.0
sub-pp006	0.0	1.0	2713.5	3.0
sub-pp006	1.0	0.0	3830.2999999998137	3.0
sub-pp006	1.0	0.0	3249.899999999441	3.0
sub-pp006	1.0	0.0	3137.5	3.0
sub-pp006	1.0	0.0	2435.699999999255	3.0
sub-pp006	1.0	0.0	3492.5	3.0
sub-pp006	0.0	1.0	3219.4000000003725	3.0
sub-pp006	0.0	1.0	1504.7999999998135	3.0
sub-pp006	0.0	1.0	2656.2999999998137	3.0
sub-pp006	1.0	0.0	3651.800000000745	3.0
sub-pp006	1.0	0.0	3114.399999999441	3.0
sub-pp006	0.0	1.0	3285.5999999996275	3.0
sub-pp006	1.0	0.0	3095.2999999998137	3.0
sub-pp006	1.0	0.0	3393.2999999998137	3.0
sub-pp006	1.0	0.0	2778.2000000001863	3.0
sub-pp006	0.0	1.0	2233.5	3.0
sub-pp006	1.0	0.0	2370.5999999996275	3.0
sub-pp006	1.0	0.0	2561.7000000001863	3.0
sub-pp006	1.0	0.0	2877.7999999998137	3.0
sub-pp006	1.0	0.0	1142.2000000001865	3.0
sub-pp006	1.0	0.0	3018.2999999998137	3.0
sub-pp006	1.0	0.0	2952.0	3.0
sub-pp006	0.0	1.0	2607.0999999996275	3.0
