participant_id	apm_corr	apm_incorr	apm_RT
sub-pp008	1.0	0.0	13470.600000143051
sub-pp008	1.0	0.0	8547.5
sub-pp008	1.0	0.0	17599.5
sub-pp008	1.0	0.0	34590.40000009537
sub-pp008	0.0	1.0	48277.70000004768
sub-pp008	1.0	0.0	47185.70000004768
sub-pp008	1.0	0.0	46351.10000014305
sub-pp008	1.0	0.0	79286.40000009537
sub-pp008	1.0	0.0	14222.600000143051
sub-pp008	1.0	0.0	22595.60000014305
sub-pp008	0.0	1.0	44674.40000009537
sub-pp008	0.0	1.0	45102.300000190735
sub-pp008	0.0	1.0	91373.70000004768
sub-pp008	1.0	0.0	75667.0
sub-pp008	0.0	1.0	81190.89999985695
sub-pp008	0.0	1.0	88025.10000014305
sub-pp008	1.0	0.0	97936.40000009535
sub-pp008	0.0	1.0	124087.20000004768
sub-pp008	0.0	1.0	130987.20000004768
sub-pp008	1.0	0.0	34994.40000009537
sub-pp008	1.0	0.0	45594.20000004768
sub-pp008	0.0	1.0	55470.19999980927
