participant_id	mlat5_corr	mlat5_incorr	mlat5_RT
sub-pp008	1.0	0.0	2807.9000000953674
sub-pp008	1.0	0.0	1949.0999999046328
sub-pp008	0.0	1.0	1988.7999999523165
sub-pp008	1.0	0.0	1736.7000000476835
sub-pp008	1.0	0.0	3087.0
sub-pp008	1.0	0.0	2932.0
sub-pp008	1.0	0.0	5980.299999952316
sub-pp008	0.0	1.0	7774.099999904633
sub-pp008	1.0	0.0	1370.0999999046326
sub-pp008	1.0	0.0	8423.300000190735
sub-pp008	1.0	0.0	3071.200000047684
sub-pp008	1.0	0.0	4088.700000047684
sub-pp008	1.0	0.0	4677.700000047684
sub-pp008	0.0	1.0	7351.400000095367
sub-pp008	0.0	1.0	6775.200000047684
sub-pp008	0.0	1.0	4044.900000095368
sub-pp008	0.0	1.0	5727.899999856949
sub-pp008	0.0	1.0	3534.7999999523163
sub-pp008	0.0	1.0	6928.299999952316
sub-pp008	1.0	0.0	7880.900000095367
sub-pp008	0.0	1.0	6024.899999856949
sub-pp008	1.0	0.0	6297.199999809265
sub-pp008	1.0	0.0	6962.700000047684
sub-pp008	0.0	1.0	5708.600000143051
