amma_corr	participant_id	amma_response
1.0	sub-pp009	M
1.0	sub-pp009	I
0.0	sub-pp009	M
0.0	sub-pp009	I
0.0	sub-pp009	R
0.0	sub-pp009	Je ne sais pas
0.0	sub-pp009	I
1.0	sub-pp009	R
0.0	sub-pp009	Je ne sais pas
1.0	sub-pp009	R
1.0	sub-pp009	M
0.0	sub-pp009	I
0.0	sub-pp009	R
0.0	sub-pp009	I
0.0	sub-pp009	M
1.0	sub-pp009	M
1.0	sub-pp009	R
1.0	sub-pp009	I
0.0	sub-pp009	I
1.0	sub-pp009	I
0.0	sub-pp009	Je ne sais pas
1.0	sub-pp009	I
0.0	sub-pp009	R
0.0	sub-pp009	R
0.0	sub-pp009	R
0.0	sub-pp009	Je ne sais pas
0.0	sub-pp009	Je ne sais pas
0.0	sub-pp009	I
1.0	sub-pp009	I
0.0	sub-pp009	M
