participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp009	1.0	0.0	1468.4000000003723	97
sub-pp009	1.0	0.0	1960.5	63
sub-pp009	1.0	0.0	1658.0	582
sub-pp009	1.0	0.0	1763.300000000745	694
sub-pp009	1.0	0.0	3173.7999999988824	7285
sub-pp009	1.0	0.0	3111.800000000745	6439
sub-pp009	1.0	0.0	2876.0	42731
sub-pp009	0.0	1.0	6430.39999999851	472836
sub-pp009	1.0	0.0	5855.800000000745	392487
sub-pp009	1.0	0.0	4595.099999999628	619473
sub-pp009	0.0	1.0	6382.699999999255	471986
sub-pp009	1.0	0.0	11071.900000000373	6917428
sub-pp009	0.0	1.0	17383.300000000745	82916894
sub-pp009	0.0	1.0	9703.5	68132487
