onset	duration	trial_type	stim_file	mainLanguage	foreignLanguage	identifier
0.0	12.0	fix	n/a	French	English	aliceloc
12.0	12.0	fix	n/a	French	English	aliceloc
24.0	18.1426855157624	degraded	aliceloc_nebula101/French/degraded/11_degraded.wav	French	English	aliceloc
42.1426855157624	18.0060045445571	foreign	aliceloc_nebula101/English/foreign/18_intact.wav	French	English	aliceloc
60.1486900603195	17.9802720831212	intact	aliceloc_nebula101/French/intact/18_intact.wav	French	English	aliceloc
78.1289621434407	18.005977518798304	foreignDegraded	aliceloc_nebula101/English/foreignDegraded/13_degraded.wav	French	English	aliceloc
96.134939662239	18.00600827029899	foreignDegraded	aliceloc_nebula101/English/foreignDegraded/19_degraded.wav	French	English	aliceloc
114.140947932538	18.005992773250014	intact	aliceloc_nebula101/French/intact/6_intact.wav	French	English	aliceloc
132.146940705788	18.006027315859995	foreign	aliceloc_nebula101/English/foreign/12_intact.wav	French	English	aliceloc
150.152968021648	17.847031978351993	degraded	aliceloc_nebula101/French/degraded/1_degraded.wav	French	English	aliceloc
168.0	12.0	fix	n/a	French	English	aliceloc
180.0	18.14319945771399	degraded	aliceloc_nebula101/French/degraded/13_degraded.wav	French	English	aliceloc
198.143199457714	18.005928909988	foreign	aliceloc_nebula101/English/foreign/22_intact.wav	French	English	aliceloc
216.149128367702	17.98023516178401	intact	aliceloc_nebula101/French/intact/20_intact.wav	French	English	aliceloc
234.129363529486	18.006001520290994	foreignDegraded	aliceloc_nebula101/English/foreignDegraded/15_degraded.wav	French	English	aliceloc
252.135365049777	18.005986044561013	foreignDegraded	aliceloc_nebula101/English/foreignDegraded/11_degraded.wav	French	English	aliceloc
270.141351094338	18.005991767336013	intact	aliceloc_nebula101/French/intact/14_intact.wav	French	English	aliceloc
288.147342861674	18.005977667343984	foreign	aliceloc_nebula101/English/foreign/14_intact.wav	French	English	aliceloc
306.153320529018	17.846679470981996	degraded	aliceloc_nebula101/French/degraded/5_degraded.wav	French	English	aliceloc
324.0	12.0	fix	n/a	French	English	aliceloc
336.0	12.0	fix	n/a	French	English	aliceloc
